"NERC Region","Outages","Total_Cust","Mean_Loss","Med_Loss","Mean_Cust"
"ERCOT",3,0,NA,NA,NA
"FRCC",41,7895310,453.742857142857,55,213386.756756757
"FRCC/SERC",1,0,NA,NA,NA
"MRO",138,3474439,129.29347826087,0,35453.4591836735
"N/A",18,3823925,586.923076923077,350,347629.545454545
"NP",1,371000,NA,NA,371000
"NPCC",261,15266105,149.84126984127,0,71671.8544600939
"NPCC, RFC",1,74000,NA,NA,74000
"NPCC; RFC",1,2e+05,NA,NA,2e+05
"PR",8,1049000,172.125,52.5,131125
"RF",161,10818165,129.788235294118,0,71643.4768211921
"RFC",355,39975949,283.167938931298,1,139289.020905923
"RFC, SERC",1,0,NA,NA,NA
"RFC; SERC",2,263520,NA,NA,131760
"SERC",450,33582839,1255.50212765957,115,96780.5158501441
"SPP",63,2167863,98.0454545454545,19,51615.7857142857
"SPP RE",41,1845334,14.4583333333333,0,48561.4210526316
"SPP, SERC, TRE",1,170244,NA,NA,170244
"TE",1,0,NA,NA,NA
"TRE",231,21300059,376.636363636364,0,135669.165605096
"WECC",758,37211394,532.906542056075,0,69294.9608938547
NA,2,1475000,1375,1375,737500
