State,Outages,Total_Cust,Mean_Loss,Med_Loss,Mean_Cust
AL,53,4410696,1022.111111,253,91889.5
AR,74,3578923,1267,0,67526.84906
AZ,30,2375079,1269.933333,20,215916.2727
CA,291,14641421,537.7748918,24,63109.57328
CO,32,371046,42.21428571,0,12794.68966
CT,61,7342337,148.3333333,0,133497.0364
DC,2,97651,NA,NA,97651
DE,58,1921014,3.166666667,0,46854
FL,45,7894706,462.6052632,20,197367.65
GA,16,1540870,355.2857143,182,110062.1429
HI,1,62000,220,220,62000
IA,14,269124,288.4285714,0,44854
ID,26,262146,55.95238095,0,13107.3
IL,51,7581454,261.75,0,172305.7727
IN,53,9161753,356.2105263,0,199168.5435
KS,25,955942,354.6666667,0,56231.88235
KY,35,1168958,45.86666667,0,38965.26667
LA,71,3288830,157.6153846,140,76484.4186
MA,24,719915,23.53846154,0,34281.66667
MD,60,4592372,272.65625,0,99834.17391
ME,37,1162132,20.4,0,34180.35294
MI,102,10886451,495.5121951,50,114594.2211
MN,39,1756097,78.48148148,0,47462.08108
MO,27,833175,46.25,0,36225
MS,19,1328194,492.3,11.5,110682.8333
MT,11,130002,68.875,0,16250.25
NC,77,9506139,5043.382353,275,146248.2923
ND,11,36904,31.2,5.5,3690.4
NE,16,157100,60.66666667,2,15710
NH,20,106000,0,0,6235.294118
NJ,48,6294389,75.09090909,24.5,146381.1395
NM,20,542976,148.7272727,0,49361.45455
NV,37,4339469,829.2727273,0,123984.8286
NY,108,5805721,297.2037037,0,74432.32051
OH,56,2896082,80.04166667,0,56785.92157
OK,47,2208258,53.66666667,0,56622
OR,70,1012476,86.75,0,21093.25
PA,73,8336676,95.4516129,7,128256.5538
SC,19,3129226,917.2142857,250,173845.8889
SD,5,7,2,0,1.4
TN,51,1467930,193.1818182,55,50618.27586
TX,238,20638223,372.0714286,0,130621.6646
UT,64,534980,1013.380952,0,11888.44444
VA,53,5020742,519.6296296,188,106824.2979
VT,10,0,0,0,0
WA,154,8984287,329.9882353,0,98728.42857
WI,26,302370,53,0,20158
WY,9,0,127.2857143,0,0
